"time", "elapsed time", "level", "heartrate", "speed", "spm", "power", "distance", "cals"
"2021-03-29 00:45:55.172126", 3, 1, 0, 259, 17, 20, 6, 0.36176470588235293
"2021-03-29 00:45:58.063263", 6, 1, 0, 242, 21, 25, 13, 0.6673202614379086
"2021-03-29 00:46:05.250978", 13, 1, 0, 300, 0, 13, 21, 0.6673202614379086
"2021-03-29 00:46:20.680103", 15, 1, 0, 189, 27, 52, 28, 0.9629992737835875
"2021-03-29 00:46:22.772273", 18, 1, 0, 174, 29, 66, 34, 1.2658728370019783
"2021-03-29 00:46:25.072679", 20, 1, 0, 189, 26, 52, 40, 1.573565144694286
"2021-03-29 00:46:27.276642", 22, 1, 0, 200, 27, 44, 45, 1.851960206422681
"2021-03-29 00:46:30.471012", 25, 1, 0, 218, 19, 34, 52, 2.2168724871244354
"2021-03-29 00:46:32.675474", 27, 1, 0, 180, 27, 60, 59, 2.529218166136781
"2021-03-29 00:46:34.672071", 29, 1, 0, 180, 30, 60, 65, 2.8108848328034477
"2021-03-29 00:46:36.876129", 32, 1, 0, 171, 28, 70, 71, 3.132908642327257
"2021-03-29 00:46:38.968691", 34, 1, 0, 186, 28, 54, 77, 3.4227895947082096
"2021-03-29 00:46:41.076858", 36, 1, 0, 178, 29, 62, 82, 3.7181918935587843
"2021-03-29 00:46:43.376854", 38, 1, 0, 176, 27, 64, 89, 4.039796831830389
"2021-03-29 00:46:45.469442", 40, 1, 0, 172, 29, 69, 95, 4.3489922341292395
"2021-03-29 00:46:47.577922", 42, 1, 0, 177, 27, 63, 101, 4.668128036598375
"2021-03-29 00:46:49.877784", 45, 1, 0, 188, 27, 52, 107, 4.964424332894671
"2021-03-29 00:46:52.066252", 47, 1, 0, 177, 28, 63, 113, 5.272757666228005
"2021-03-29 00:46:54.174634", 49, 1, 0, 178, 28, 62, 119, 5.577519570989909
"2021-03-29 00:46:56.378638", 51, 1, 0, 183, 28, 57, 125, 5.873352904323243
"2021-03-29 00:46:58.567038", 53, 1, 0, 183, 27, 57, 131, 6.18076031173065
"2021-03-29 00:47:00.770966", 56, 1, 0, 176, 27, 64, 137, 6.501747966051638
"2021-03-29 00:47:03.071126", 58, 1, 0, 179, 26, 61, 143, 6.8293120686157405
"2021-03-29 00:47:05.275283", 60, 1, 0, 175, 28, 65, 150, 7.140621592425264
"2021-03-29 00:47:07.367628", 62, 1, 0, 168, 29, 74, 156, 7.459587109666643
"2021-03-29 00:47:09.572041", 64, 1, 0, 171, 27, 70, 162, 7.793537726950594
"2021-03-29 00:47:11.776088", 67, 1, 0, 180, 27, 60, 168, 8.10588340596294
"2021-03-29 00:47:13.868738", 69, 1, 0, 180, 28, 60, 174, 8.408264358343892
"2021-03-29 00:47:16.072757", 71, 1, 0, 175, 28, 65, 180, 8.720764358343892
"2021-03-29 00:47:18.276898", 73, 1, 0, 176, 27, 64, 186, 9.042369296615497
"2021-03-29 00:47:20.465410", 75, 1, 0, 179, 27, 61, 193, 9.357184111430312
"2021-03-29 00:47:22.877008", 78, 1, 0, 191, 25, 50, 199, 9.671850778096978
"2021-03-29 00:47:25.065461", 80, 1, 0, 188, 28, 53, 205, 9.95875554000174
"2021-03-29 00:47:27.365542", 82, 1, 0, 188, 25, 53, 211, 10.280088873335073
"2021-03-29 00:47:29.569637", 84, 1, 0, 193, 28, 48, 217, 10.557469825716025
"2021-03-29 00:47:31.773721", 87, 1, 0, 183, 27, 57, 222, 10.864259949172816
"2021-03-29 00:47:33.866311", 89, 1, 0, 177, 28, 64, 229, 11.173188520601387
"2021-03-29 00:47:36.181998", 91, 1, 0, 179, 26, 61, 235, 11.499470571883439
"2021-03-29 00:47:38.274420", 93, 1, 0, 170, 29, 71, 241, 11.812688962688037
"2021-03-29 00:47:40.574627", 95, 1, 0, 180, 26, 60, 247, 12.138329988329064
"2021-03-29 00:47:42.667085", 97, 1, 0, 174, 29, 66, 253, 12.441203551547455
"2021-03-29 00:47:44.967133", 100, 1, 0, 189, 26, 51, 260, 12.746972782316686
"2021-03-29 00:47:47.171377", 102, 1, 0, 179, 28, 61, 266, 13.049948972792876
"2021-03-29 00:47:49.375272", 104, 1, 0, 177, 27, 63, 272, 13.368467491311394
